Neighborhood,Pincode,latitude,longitude
Mamana,303348 ,26.841635000000053,75.08067595400007
Manda Bhim singh,303339 ,26.925730000000044,75.80659000000003
Manda Bhinda,303712 ,27.260384574000057,75.65916812000006
Mandawari,303005 ,26.571060000000045,75.50939017400003
Mandha,303110 ,27.603484826000056,76.17118500000004
Mandi,303005 ,26.571060000000045,75.50939017400003
Mandlia Meda,303901 ,26.58943000000005,75.90438374400003
Mandore,303009 ,26.678590000000042,75.38565875900008
Manoharpur,303104 ,27.259955000000048,75.92746614200007
Manoharpura,303301 ,26.833198665000054,76.04988500000007
Manota,303109 ,27.03284375900006,76.08377500000006
Manpura Machedi,303805 ,27.11880344900004,75.86183000000005
Mansar Khedi,303301 ,26.833198665000054,76.04988500000007
Mansarovar,302020 ,26.850430000000074,75.75422102300007
Markhi,303601 ,27.370295000000056,75.83041412800003
Marwa,303348 ,26.841635000000053,75.08067595400007
Mathasula,303109 ,27.03284375900006,76.08377500000006
Med,303003 ,27.36365500000005,76.15123780600004
Meena Wala,302012 ,26.960270000000037,75.66582122300008
Mehandwas,303005 ,26.571060000000045,75.50939017400003
Mohabatpura,303904 ,26.67402500000003,75.68053438900006
Mohanpura,303905 ,26.705220000000054,75.80539379300006
Mokhampura,303604 ,26.98643383800004,75.26827500000007
Molaheda,303108 ,27.77030459200006,76.19953000000004
Mordha,303108 ,27.77030459200006,76.19953000000004
Morija,303805 ,27.11880344900004,75.86183000000005
Moti Doongari road,302004 ,26.887956048000035,75.83186000000006
Mozmabad,303009 ,26.678590000000042,75.38565875900008
Mrec Jaipur,302017 ,26.83753500000006,75.84306881700007
Muhana,302029 ,26.785010000000057,75.65884962700005
Mukandpura,302026 ,26.843485000000044,75.64410060200004
Mundia Rampura,302012 ,26.960270000000037,75.66582122300008
Mundiagaarh,303603 ,27.149745000000053,75.40720517100004
Mundota,303706 ,26.993295000000046,75.57476113400008
Mundoti,303328 ,27.018355000000042,75.43840400000005
Murlipura,302013 ,27.044835000000035,75.80582090400003
N.C.r.building,302005 ,26.89951074700008,75.79193500000008
Nanan,303008 ,26.605274991000044,75.16652500000004
Nangal Bharda,303807 ,27.229930000000024,75.76533998000008
Nangal Govind,303602 ,27.24932000000007,75.44234680800008
Nangal Jaisabohra,302012 ,26.960270000000037,75.66582122300008
Nangal Koju,303804 ,27.29353375000005,75.75790000000006
Nangal Ladi,303701 ,27.08825500000006,75.63969125000006
Nangal Panditpura,303108 ,27.77030459200006,76.19953000000004
Nangal Purohit,303704 ,27.11987238900008,75.76623500000005
Nangal Soosawatan,302028 ,26.991700000000037,75.88563319000008
Nangal Turkan,303712 ,27.260384574000057,75.65916812000006
Naraina,303348 ,26.841635000000053,75.08067595400007
Nareda,303105 ,27.74574989900003,76.08626000000004
Narera,303005 ,26.571060000000045,75.50939017400003
Natata,302028 ,26.991700000000037,75.88563319000008
Nathawala,303103 ,27.398385000000076,76.02488576700006
Naupura,303801 ,27.206260000000043,75.57590294600004
Naurangpura,303003 ,27.36365500000005,76.15123780600004
Nawalpura,303104 ,27.259955000000048,75.92746614200007
Naya Bas,303806 ,27.215539957000033,75.83599500000008
Nayan,303601 ,27.370295000000056,75.83041412800003
Nayla,303012 ,26.90840608800005,75.96652500000005
Neemera,302012 ,26.960270000000037,75.66582122300008
Neendar,302013 ,27.044835000000035,75.80582090400003
Neendar Banar,302012 ,26.960270000000037,75.66582122300008
Neota,302029 ,26.785010000000057,75.65884962700005
Newar,303305 ,26.831415462000052,76.18516500000004
Nimera,303005 ,26.571060000000045,75.50939017400003
Nimodiya,303901 ,26.58943000000005,75.90438374400003
Nithara,303103 ,27.398385000000076,76.02488576700006
Niwana,303804 ,27.29353375000005,75.75790000000006
Niwaroo,302012 ,26.960270000000037,75.66582122300008
P.W.d.office,302006 ,26.91469472400007,75.77727000000004
Pachala,303005 ,26.571060000000045,75.50939017400003
Pachar,303706 ,26.993295000000046,75.57476113400008
Padasoli,303305 ,26.831415462000052,76.18516500000004
Pahandia,303904 ,26.67402500000003,75.68053438900006
Palawalan Jatan,303301 ,26.833198665000054,76.04988500000007
Paldi,303003 ,27.36365500000005,76.15123780600004
Panchudala,303110 ,27.603484826000056,76.17118500000004
Panditpura,303106 ,27.573030000000074,76.02734073000005
Paniyala,303108 ,27.77030459200006,76.19953000000004
Panwalia,303904 ,26.67402500000003,75.68053438900006
Paota(jaipur),303106 ,27.573030000000074,76.02734073000005
Papad,303012 ,26.90840608800005,75.96652500000005
Parwan,303005 ,26.571060000000045,75.50939017400003
Pathredi,303107 ,27.656615000000045,76.05954869400006
Pawana,303108 ,27.77030459200006,76.19953000000004
Peepla,303904 ,26.67402500000003,75.68053438900006
Phagi,303005 ,26.571060000000045,75.50939017400003
Phulera,303338 ,26.879625000000033,75.29119745300005
Phulera Bazar,303338 ,26.879625000000033,75.29119745300005
Pragpura,303107 ,27.656615000000045,76.05954869400006
Pratap Nagar housing board,302033 ,26.806965000000048,75.82659652100006
Pratapura,303801 ,27.206260000000043,75.57590294600004
Punana,303701 ,27.08825500000006,75.63969125000006
